follower_id,followed_id
user_042,authority_001
user_005,authority_001
user_029,authority_002
user_016,authority_002
user_048,authority_002
user_007,authority_002
user_002,authority_002
user_075,authority_003
user_054,authority_003
user_043,authority_003
user_053,authority_003
user_023,authority_004
user_093,authority_004
user_010,authority_005
user_096,authority_005
user_009,authority_005
user_020,authority_005
user_090,authority_006
user_084,authority_006
user_080,authority_006
user_089,authority_006
user_024,authority_006
user_078,authority_007
user_061,authority_008
user_035,authority_008
user_099,authority_008
user_006,authority_009
user_032,authority_010
user_027,authority_010
user_094,authority_010
user_078,authority_011
user_042,authority_012
user_007,authority_012
user_080,authority_012
user_092,authority_013
user_027,authority_013
user_080,authority_013
user_008,authority_013
user_069,authority_013
user_029,authority_014
user_098,authority_014
user_015,authority_014
user_079,authority_014
user_034,authority_015
user_061,authority_016
user_004,authority_016
user_088,authority_017
user_029,authority_018
user_098,authority_018
user_092,authority_018
user_077,authority_019
user_091,authority_019
user_061,authority_019
user_032,authority_019
user_076,authority_019
user_001,authority_020
user_094,authority_020
user_058,authority_020
user_070,authority_021
user_098,authority_021
user_094,authority_021
user_057,authority_021
user_055,authority_022
user_081,authority_022
user_029,authority_022
user_044,authority_022
user_027,authority_022
user_026,authority_023
user_032,authority_023
user_031,authority_023
user_011,authority_023
user_021,authority_023
user_064,authority_024
user_049,authority_024
user_095,authority_024
user_016,authority_025
user_095,authority_025
user_037,authority_025
user_057,authority_025
user_076,authority_026
user_085,authority_026
user_012,authority_027
user_064,authority_027
user_066,authority_027
user_083,authority_028
user_030,authority_029
user_089,authority_029
user_064,authority_029
user_031,authority_029
user_021,authority_030
user_083,authority_031
user_098,authority_031
user_074,authority_031
user_008,authority_031
user_009,authority_032
user_072,authority_032
user_067,authority_032
user_098,authority_033
user_024,authority_034
user_086,authority_034
user_028,authority_034
user_067,authority_034
user_048,authority_034
user_026,authority_035
user_086,authority_035
user_069,authority_035
user_051,authority_036
user_091,authority_036
user_052,authority_037
user_023,authority_037
user_071,authority_037
user_083,authority_038
user_081,authority_038
user_020,authority_038
user_048,authority_038
user_021,authority_038
user_089,authority_039
user_013,authority_039
user_039,authority_039
user_086,authority_039
user_011,authority_040
user_041,authority_040
user_042,authority_041
user_004,authority_041
user_085,authority_041
user_020,authority_042
user_025,authority_042
user_015,authority_042
user_051,authority_043
user_020,authority_043
user_093,authority_043
user_007,authority_044
user_058,authority_044
user_023,authority_044
user_091,authority_044
user_030,authority_044
user_034,authority_045
user_074,authority_045
user_048,authority_045
user_070,authority_045
user_023,authority_045
user_069,authority_046
user_014,authority_046
user_069,authority_046
user_099,authority_046
user_001,authority_046
user_029,authority_047
user_061,authority_047
user_076,authority_047
user_036,authority_048
user_044,authority_048
user_034,authority_048
user_060,authority_048
user_054,authority_048
user_021,authority_049
user_059,authority_049
user_039,authority_050
user_087,authority_050
user_065,authority_050
user_029,authority_050
user_009,authority_050
user_051,authority_025
user_052,authority_049
user_052,authority_004
user_053,authority_038
user_054,authority_013
user_055,authority_030
user_055,authority_031
user_056,authority_045
user_056,authority_014
user_056,authority_023
user_057,authority_033
user_058,authority_014
user_058,authority_005
user_058,authority_033
user_059,authority_007
user_060,authority_012
user_060,authority_005
user_060,authority_048
user_061,authority_028
user_061,authority_011
user_062,authority_012
user_062,authority_022
user_063,authority_014
user_064,authority_016
user_064,authority_023
user_064,authority_041
user_065,authority_033
user_065,authority_008
user_065,authority_033
user_066,authority_035
user_066,authority_025
user_067,authority_012
user_067,authority_016
user_067,authority_008
user_068,authority_049
user_069,authority_048
user_069,authority_020
user_070,authority_022
user_070,authority_038
user_070,authority_029
user_071,authority_006
user_071,authority_006
user_071,authority_050
user_072,authority_030
user_072,authority_029
user_073,authority_012
user_074,authority_025
user_074,authority_013
user_075,authority_003
user_075,authority_049
user_075,authority_029
user_076,authority_046
user_077,authority_044
user_077,authority_009
user_078,authority_031
user_078,authority_003
user_079,authority_034
user_079,authority_002
user_079,authority_026
user_080,authority_027
user_080,authority_041
user_080,authority_045
user_081,authority_040
user_081,authority_014
user_082,authority_040
user_083,authority_036
user_084,authority_029
user_084,authority_046
user_084,authority_032
user_085,authority_023
user_085,authority_005
user_085,authority_034
user_086,authority_002
user_087,authority_044
user_087,authority_041
user_087,authority_007
user_088,authority_033
user_088,authority_004
user_089,authority_043
user_089,authority_041
user_090,authority_044
user_090,authority_015
user_090,authority_044
user_091,authority_039
user_092,authority_003
user_092,authority_013
user_093,authority_046
user_094,authority_010
user_095,authority_016
user_095,authority_015
user_096,authority_008
user_097,authority_002
user_097,authority_006
user_098,authority_048
user_099,authority_013
user_099,authority_021
user_099,authority_001
user_100,authority_015
user_100,authority_013
