follower_id,followed_id
user_039,authority_001
user_033,authority_001
user_016,authority_002
user_089,authority_002
user_030,authority_002
user_085,authority_002
user_042,authority_003
user_027,authority_003
user_053,authority_003
user_079,authority_003
user_050,authority_003
user_051,authority_004
user_057,authority_004
user_041,authority_004
user_036,authority_004
user_092,authority_004
user_046,authority_005
user_063,authority_005
user_024,authority_005
user_056,authority_006
user_092,authority_006
user_065,authority_006
user_083,authority_006
user_062,authority_007
user_004,authority_007
user_011,authority_007
user_021,authority_007
user_080,authority_007
user_099,authority_008
user_054,authority_008
user_020,authority_008
user_007,authority_008
user_031,authority_009
user_058,authority_009
user_006,authority_009
user_078,authority_010
user_051,authority_010
user_095,authority_011
user_087,authority_011
user_043,authority_012
user_095,authority_012
user_049,authority_012
user_074,authority_012
user_054,authority_012
user_014,authority_013
user_007,authority_013
user_001,authority_013
user_013,authority_014
user_058,authority_014
user_068,authority_015
user_078,authority_015
user_016,authority_015
user_042,authority_015
user_076,authority_015
user_095,authority_016
user_034,authority_016
user_081,authority_016
user_084,authority_017
user_028,authority_017
user_063,authority_017
user_051,authority_017
user_010,authority_018
user_041,authority_018
user_095,authority_018
user_077,authority_018
user_035,authority_019
user_052,authority_019
user_082,authority_019
user_070,authority_019
user_041,authority_020
user_081,authority_021
user_050,authority_021
user_063,authority_021
user_096,authority_022
user_075,authority_022
user_022,authority_022
user_055,authority_022
user_062,authority_023
user_018,authority_023
user_002,authority_023
user_087,authority_023
user_032,authority_023
user_079,authority_024
user_041,authority_024
user_015,authority_025
user_036,authority_025
user_059,authority_025
user_042,authority_025
user_002,authority_025
user_095,authority_026
user_068,authority_027
user_023,authority_027
user_089,authority_027
user_091,authority_027
user_071,authority_027
user_014,authority_028
user_085,authority_028
user_020,authority_028
user_094,authority_028
user_020,authority_028
user_097,authority_029
user_042,authority_029
user_076,authority_029
user_044,authority_029
user_046,authority_030
user_018,authority_030
user_016,authority_031
user_003,authority_031
user_028,authority_032
user_065,authority_032
user_081,authority_032
user_092,authority_032
user_074,authority_033
user_087,authority_033
user_017,authority_033
user_021,authority_034
user_094,authority_034
user_046,authority_035
user_002,authority_035
user_080,authority_035
user_095,authority_036
user_077,authority_036
user_084,authority_037
user_093,authority_037
user_044,authority_037
user_061,authority_038
user_013,authority_038
user_046,authority_038
user_046,authority_038
user_070,authority_039
user_015,authority_039
user_096,authority_040
user_036,authority_040
user_005,authority_040
user_041,authority_041
user_026,authority_041
user_042,authority_041
user_035,authority_041
user_002,authority_042
user_064,authority_042
user_062,authority_042
user_042,authority_042
user_069,authority_042
user_060,authority_043
user_008,authority_043
user_047,authority_043
user_039,authority_044
user_053,authority_044
user_015,authority_044
user_096,authority_044
user_018,authority_044
user_072,authority_045
user_058,authority_045
user_020,authority_046
user_074,authority_046
user_011,authority_046
user_024,authority_046
user_061,authority_047
user_089,authority_047
user_012,authority_047
user_041,authority_047
user_059,authority_047
user_089,authority_048
user_010,authority_048
user_093,authority_049
user_020,authority_049
user_057,authority_049
user_019,authority_049
user_023,authority_050
user_020,authority_050
user_093,authority_050
user_086,authority_050
user_051,authority_004
user_052,authority_020
user_052,authority_004
user_053,authority_039
user_053,authority_033
user_054,authority_013
user_054,authority_004
user_055,authority_010
user_055,authority_022
user_056,authority_034
user_057,authority_038
user_058,authority_009
user_058,authority_027
user_058,authority_002
user_059,authority_017
user_059,authority_010
user_060,authority_005
user_060,authority_006
user_060,authority_013
user_061,authority_020
user_061,authority_017
user_062,authority_031
user_062,authority_034
user_062,authority_007
user_063,authority_015
user_063,authority_041
user_063,authority_005
user_064,authority_044
user_064,authority_004
user_064,authority_049
user_065,authority_018
user_066,authority_019
user_067,authority_025
user_068,authority_036
user_068,authority_016
user_069,authority_004
user_069,authority_040
user_069,authority_018
user_070,authority_036
user_070,authority_007
user_070,authority_032
user_071,authority_012
user_072,authority_037
user_072,authority_023
user_072,authority_006
user_073,authority_040
user_073,authority_027
user_074,authority_049
user_074,authority_042
user_074,authority_016
user_075,authority_031
user_076,authority_012
user_077,authority_047
user_078,authority_034
user_078,authority_009
user_078,authority_031
user_079,authority_016
user_080,authority_024
user_080,authority_004
user_080,authority_024
user_081,authority_012
user_082,authority_037
user_082,authority_046
user_082,authority_033
user_083,authority_035
user_083,authority_044
user_084,authority_005
user_084,authority_041
user_084,authority_048
user_085,authority_046
user_085,authority_046
user_085,authority_020
user_086,authority_015
user_087,authority_014
user_087,authority_008
user_088,authority_038
user_088,authority_033
user_088,authority_049
user_089,authority_016
user_089,authority_046
user_090,authority_050
user_091,authority_011
user_091,authority_034
user_092,authority_017
user_092,authority_031
user_092,authority_024
user_093,authority_003
user_093,authority_027
user_093,authority_018
user_094,authority_019
user_094,authority_039
user_094,authority_032
user_095,authority_037
user_095,authority_017
user_095,authority_012
user_096,authority_042
user_096,authority_004
user_097,authority_034
user_097,authority_007
user_098,authority_040
user_098,authority_044
user_098,authority_037
user_099,authority_020
user_099,authority_035
user_100,authority_019
user_100,authority_024
user_100,authority_024
