user_id,followers,topics
authority_001,2000,Athleisure Wear
authority_002,1000,Retro Fashion
user_001,80,Statement Pieces
user_002,70,Color Blocking
user_003,60,Monochrome Outfits
user_006,406,"Gender-Neutral Fashion,Minimalist Fashion,Athleisure,Street Style"
user_007,893,"Fashion Sustainability,Fashion Week Highlights"
user_008,385,"Athleisure Wear,Upcycled Fashion"
user_009,108,"Influencer Style,Layering Techniques,Fashion Resale,Athleisure"
user_010,130,"Minimalist Fashion,Luxury Brands,Bohemian Style"
user_011,1247,Athleisure Wear
user_012,2291,"Seasonal Trends,Statement Pieces,Fashion Collaborations"
user_013,341,"Fashion Collaborations,Digital Fashion,Color Blocking"
user_014,2076,"Fashion Hacks,Gender-Neutral Fashion,Seasonal Trends"
user_015,67,"Seasonal Trends,Statement Pieces"
user_016,195,"Fashion Resale,Luxury Brands,Capsule Wardrobe,Seasonal Trends,Gender-Neutral Fashion"
user_017,2437,"Monochrome Outfits,Virtual Fashion Shows,Vintage Fashion"
user_018,2091,"Fast Fashion,Luxury Brands,Fashion NFTs,Seasonal Trends,Upcycled Fashion"
user_019,988,Retro Fashion
user_020,602,"Digital Fashion,Fashion NFTs,Athleisure,Streetwear"
user_021,2362,"Virtual Fashion Shows,Luxury Brands,Minimalist Fashion,Upcycled Fashion"
user_022,1319,"Vintage Fashion,Digital Fashion,Statement Pieces,Fashion Sustainability,Seasonal Trends"
user_023,216,"Vintage Fashion,Sustainable Fashion,Capsule Wardrobe"
user_024,717,"High Fashion,Gender-Neutral Fashion,Athleisure Wear,Retro Fashion,Layering Techniques"
user_025,2429,Retro Fashion
user_026,2353,Fashion Sustainability
user_027,1417,Bohemian Style
user_028,876,"Luxury Brands,Fast Fashion"
user_029,1301,"Fashion Week Highlights,High Fashion,Influencer Style,Statement Pieces,Upcycled Fashion"
user_030,1452,Gender-Neutral Fashion
user_031,307,Fashion Collaborations
user_032,1392,"Sustainable Fashion,Color Blocking,Monochrome Outfits,Minimalist Fashion"
user_033,1959,"Fashion Resale,Virtual Fashion Shows,Athleisure"
user_034,215,"Vintage Fashion,Capsule Wardrobe,Street Style,Fashion Week Highlights,Fashion Collaborations"
user_035,1258,"Gender-Neutral Fashion,Capsule Wardrobe,Digital Fashion"
user_036,115,Retro Fashion
user_037,104,"High Fashion,Fashion Hacks"
user_038,2144,"Seasonal Trends,Bohemian Style,Digital Fashion,Athleisure,Fashion Resale"
user_039,1008,"Ethical Fashion,Fashion Collaborations,Sustainable Fashion"
user_040,1995,"Ethical Fashion,Retro Fashion,Capsule Wardrobe,Fashion Resale"
user_041,748,"Athleisure Wear,Fashion Hacks"
user_042,1108,"Minimalist Fashion,High Fashion,Upcycled Fashion,Color Blocking"
user_043,1101,"Minimalist Fashion,Vintage Fashion,Upcycled Fashion"
user_044,35,"Sustainable Fashion,Influencer Style,Capsule Wardrobe,Layering Techniques,Street Style"
user_045,289,"Bohemian Style,Luxury Brands,Fashion NFTs,Athleisure Wear,Retro Fashion"
user_046,2349,"Athleisure Wear,Ethical Fashion,Color Blocking,Minimalist Fashion,Fashion Hacks"
user_047,1538,"Street Style,Seasonal Trends,Fashion Resale"
user_048,783,"Minimalist Fashion,Fashion NFTs,Influencer Style,Athleisure,Color Blocking"
user_049,1584,"Upcycled Fashion,Monochrome Outfits,Fashion Collaborations"
user_050,2209,"Fashion NFTs,Street Style,High Fashion,Gender-Neutral Fashion"
user_051,1583,"Upcycled Fashion,Sustainable Fashion,Color Blocking,Digital Fashion,High Fashion"
user_052,910,"Fashion NFTs,Digital Fashion"
user_053,557,"Fast Fashion,Fashion Sustainability,Virtual Fashion Shows,Athleisure,Athleisure Wear"
user_054,2430,"Street Style,Fashion Resale"
user_055,127,Digital Fashion
user_056,197,"Retro Fashion,Gender-Neutral Fashion"
user_057,356,"Digital Fashion,Sustainable Fashion,Layering Techniques"
user_058,509,"Seasonal Trends,Layering Techniques,Fast Fashion"
user_059,1190,"Street Style,Minimalist Fashion"
user_060,1316,"Athleisure Wear,Bohemian Style,Fashion Week Highlights"
user_061,2194,"Luxury Brands,Fashion Sustainability,Retro Fashion,Vintage Fashion,Fashion Week Highlights"
user_062,308,Ethical Fashion
user_063,530,Vintage Fashion
user_064,1898,"Street Style,Layering Techniques,Seasonal Trends,Fashion NFTs,Upcycled Fashion"
user_065,794,"Monochrome Outfits,Retro Fashion,Ethical Fashion,Influencer Style"
user_066,2295,"Athleisure,Street Style"
user_067,2067,"Retro Fashion,Fashion Resale,Gender-Neutral Fashion,Ethical Fashion"
user_068,1542,"Fashion Sustainability,Vintage Fashion"
user_069,2239,"Fashion Resale,Upcycled Fashion"
user_070,413,"Statement Pieces,Sustainable Fashion,Fashion Week Highlights,Capsule Wardrobe"
user_071,1594,"Fashion Hacks,Retro Fashion,High Fashion"
user_072,2241,"Athleisure,High Fashion,Digital Fashion"
