user_id,followers,topics
user_001,980,"Influencer Style,Vintage Fashion,Fashion Sustainability,Minimalist Fashion,Athleisure"
user_002,597,"Minimalist Fashion,Monochrome Outfits"
user_003,730,"Monochrome Outfits,Athleisure"
user_004,2491,Athleisure
user_005,233,Minimalist Fashion
user_006,2090,Seasonal Trends
user_007,2357,"Capsule Wardrobe,Fast Fashion,Streetwear"
user_008,706,"Gender-Neutral Fashion,Monochrome Outfits"
user_009,2153,"Monochrome Outfits,Fashion NFTs,Virtual Fashion Shows,Streetwear"
user_010,2400,"Capsule Wardrobe,Fashion Collaborations,Influencer Style,Vintage Fashion"
user_011,394,Minimalist Fashion
user_012,79,Fast Fashion
user_013,2292,"Color Blocking,Monochrome Outfits,Street Style,Athleisure Wear,Capsule Wardrobe"
user_014,1091,"Capsule Wardrobe,Bohemian Style,Streetwear"
user_015,1111,"Monochrome Outfits,Vintage Fashion"
user_016,814,"Capsule Wardrobe,Influencer Style"
user_017,261,"Ethical Fashion,Sustainable Fashion,Digital Fashion,Minimalist Fashion"
user_018,1889,"Layering Techniques,High Fashion,Fashion Hacks,Fast Fashion,Fashion Collaborations"
user_019,1188,"Retro Fashion,Ethical Fashion,Streetwear,Color Blocking"
user_020,364,"Fashion Resale,Fashion NFTs,Monochrome Outfits"
user_021,2279,"Fashion NFTs,Capsule Wardrobe"
user_022,2427,Street Style
user_023,1748,"Retro Fashion,Fashion Hacks,Luxury Brands,Sustainable Fashion"
user_024,554,High Fashion
user_025,2204,"Ethical Fashion,Gender-Neutral Fashion,Fashion Week Highlights"
user_026,1833,Fashion NFTs
user_027,2116,"Influencer Style,Fashion Week Highlights,Capsule Wardrobe"
user_028,1342,"Fashion Week Highlights,Statement Pieces,Bohemian Style,Color Blocking,High Fashion"
user_029,961,"Fashion Collaborations,Digital Fashion,Gender-Neutral Fashion,Fashion Hacks"
user_030,664,"Statement Pieces,Sustainable Fashion"
user_031,505,"Fashion Week Highlights,Fashion NFTs,Layering Techniques,Digital Fashion"
user_032,1120,Monochrome Outfits
user_033,558,"Fashion Hacks,Minimalist Fashion,Fashion Sustainability"
user_034,2358,Minimalist Fashion
user_035,2115,Digital Fashion
user_036,474,"Monochrome Outfits,Fashion Resale,Color Blocking,Luxury Brands"
user_037,987,"Athleisure,Streetwear,Digital Fashion"
user_038,1363,"Fast Fashion,Vintage Fashion,Layering Techniques"
user_039,849,"Luxury Brands,Gender-Neutral Fashion"
user_040,2424,"Minimalist Fashion,Fashion Collaborations,Ethical Fashion"
