user_id,followers,topics
authority_001,2500,Color Blocking
authority_002,1200,Monochrome Outfits
user_001,90,Layering Techniques
user_002,80,Fashion Collaborations
user_003,70,Influencer Style
user_006,612,"Athleisure Wear,High Fashion,Sustainable Fashion,Fashion Sustainability"
user_007,1513,Upcycled Fashion
user_008,97,Fashion Hacks
user_009,929,"Statement Pieces,Gender-Neutral Fashion"
user_010,1666,"Retro Fashion,High Fashion,Ethical Fashion,Streetwear,Athleisure Wear"
user_011,1918,"Bohemian Style,Retro Fashion"
user_012,1800,"Fashion Resale,Fashion Week Highlights,Color Blocking,Fast Fashion,Street Style"
user_013,2170,"Ethical Fashion,High Fashion"
user_014,350,"Street Style,Vintage Fashion,Fashion Collaborations,High Fashion"
user_015,961,Monochrome Outfits
user_016,2128,"Fashion Hacks,Fashion NFTs,Fashion Collaborations"
user_017,2477,"Streetwear,Capsule Wardrobe"
user_018,1353,"Sustainable Fashion,Fashion Hacks,Digital Fashion,Fashion Sustainability,Capsule Wardrobe"
user_019,2117,"Layering Techniques,Luxury Brands"
user_020,2184,"Fashion Week Highlights,Layering Techniques,Athleisure Wear"
user_021,442,"Athleisure,Bohemian Style,Fashion Hacks,Vintage Fashion"
user_022,1106,"Capsule Wardrobe,Athleisure Wear"
user_023,1822,"Retro Fashion,High Fashion"
user_024,127,"Fashion Sustainability,Fashion Hacks,Minimalist Fashion"
user_025,517,"Color Blocking,Monochrome Outfits"
user_026,2488,"Digital Fashion,Upcycled Fashion,Color Blocking"
user_027,2322,Athleisure Wear
user_028,433,"Luxury Brands,Retro Fashion,Gender-Neutral Fashion,Bohemian Style"
user_029,663,"Streetwear,Athleisure"
user_030,1619,"Ethical Fashion,Streetwear,Fast Fashion,Layering Techniques"
user_031,1370,"Fashion Sustainability,Fashion NFTs,Influencer Style,Statement Pieces,Upcycled Fashion"
user_032,2011,"Athleisure,Vintage Fashion,Virtual Fashion Shows,Color Blocking,Retro Fashion"
user_033,1144,Layering Techniques
user_034,2089,"Sustainable Fashion,Fashion Week Highlights,Fast Fashion"
user_035,934,"Athleisure,Statement Pieces,Fashion Resale,Fashion NFTs,Upcycled Fashion"
user_036,1558,"Bohemian Style,Fast Fashion,Streetwear"
user_037,1076,"Minimalist Fashion,Fashion Collaborations,Retro Fashion,Fast Fashion,Athleisure"
user_038,1045,"Fast Fashion,Fashion Hacks,Digital Fashion"
user_039,732,"Street Style,Color Blocking"
user_040,205,"Fashion Collaborations,Street Style,Fashion Resale,Fast Fashion"
user_041,1695,"Virtual Fashion Shows,Fashion Sustainability,Digital Fashion,Fashion Hacks,High Fashion"
user_042,1220,Retro Fashion
user_043,421,"Capsule Wardrobe,Fast Fashion,Fashion Sustainability,Ethical Fashion,Streetwear"
user_044,1853,"Fashion NFTs,Retro Fashion,High Fashion,Digital Fashion,Athleisure Wear"
user_045,1345,Bohemian Style
user_046,74,"Capsule Wardrobe,Virtual Fashion Shows"
user_047,1250,"Luxury Brands,Digital Fashion"
user_048,1092,"Virtual Fashion Shows,Influencer Style,Color Blocking,Statement Pieces,Streetwear"
user_049,670,"Minimalist Fashion,High Fashion"
user_050,1162,Capsule Wardrobe
user_051,987,"Seasonal Trends,Vintage Fashion,Fashion Collaborations,Digital Fashion,Athleisure Wear"
user_052,1069,"Vintage Fashion,Gender-Neutral Fashion,Street Style,Athleisure,Bohemian Style"
user_053,2288,Street Style
user_054,2042,Vintage Fashion
user_055,2289,Sustainable Fashion
user_056,1395,"Capsule Wardrobe,Vintage Fashion,Street Style"
user_057,36,"Street Style,Athleisure,Upcycled Fashion"
user_058,67,"Vintage Fashion,Athleisure,Retro Fashion"
user_059,1795,Gender-Neutral Fashion
user_060,1890,"Athleisure Wear,Fast Fashion,Sustainable Fashion,Capsule Wardrobe,Retro Fashion"
user_061,1342,Athleisure
user_062,2243,"Athleisure Wear,Layering Techniques,Fashion Hacks,Fashion Resale,Influencer Style"
user_063,970,"Capsule Wardrobe,Athleisure,Influencer Style,Fashion NFTs,Color Blocking"
user_064,2140,"Fashion Collaborations,Virtual Fashion Shows,Fashion Week Highlights"
user_065,1610,"Minimalist Fashion,Gender-Neutral Fashion,Digital Fashion"
user_066,2169,"Ethical Fashion,Fast Fashion"
user_067,1553,"Statement Pieces,Street Style,Gender-Neutral Fashion,Monochrome Outfits"
user_068,1008,"Layering Techniques,Seasonal Trends,Luxury Brands"
user_069,1792,"Retro Fashion,Layering Techniques,Fashion Hacks,Streetwear,Seasonal Trends"
user_070,75,"Streetwear,Influencer Style"
user_071,1620,Ethical Fashion
user_072,1661,"Digital Fashion,Fast Fashion,Streetwear,Gender-Neutral Fashion,Seasonal Trends"
user_073,1076,Street Style
user_074,928,"Fashion Week Highlights,Influencer Style,Bohemian Style,Street Style,Fashion Resale"
user_075,1114,"Sustainable Fashion,Ethical Fashion,Influencer Style,Digital Fashion,Color Blocking"
user_076,1952,"Layering Techniques,Virtual Fashion Shows,Vintage Fashion,Luxury Brands,Fashion NFTs"
