follower_id,followed_id
user_066,authority_001
user_059,authority_001
user_017,authority_002
user_029,authority_003
user_039,authority_003
user_057,authority_003
user_067,authority_003
user_057,authority_003
user_097,authority_004
user_050,authority_004
user_055,authority_004
user_083,authority_004
user_036,authority_004
user_039,authority_005
user_039,authority_005
user_100,authority_005
user_040,authority_005
user_055,authority_006
user_039,authority_006
user_099,authority_006
user_096,authority_006
user_017,authority_006
user_042,authority_007
user_078,authority_007
user_035,authority_007
user_015,authority_007
user_049,authority_007
user_030,authority_008
user_055,authority_009
user_100,authority_009
user_019,authority_009
user_068,authority_010
user_073,authority_010
user_091,authority_011
user_005,authority_011
user_091,authority_011
user_053,authority_011
user_039,authority_012
user_008,authority_012
user_059,authority_012
user_020,authority_012
user_011,authority_013
user_019,authority_013
user_031,authority_014
user_051,authority_014
user_049,authority_014
user_020,authority_014
user_037,authority_015
user_059,authority_015
user_058,authority_016
user_054,authority_016
user_027,authority_017
user_072,authority_017
user_009,authority_017
user_085,authority_017
user_020,authority_017
user_093,authority_018
user_041,authority_018
user_067,authority_018
user_032,authority_019
user_030,authority_019
user_083,authority_019
user_034,authority_020
user_031,authority_020
user_055,authority_020
user_063,authority_021
user_088,authority_021
user_082,authority_021
user_030,authority_021
user_011,authority_022
user_060,authority_022
user_054,authority_022
user_014,authority_023
user_028,authority_024
user_032,authority_024
user_099,authority_024
user_097,authority_024
user_077,authority_024
user_090,authority_025
user_063,authority_025
user_078,authority_026
user_014,authority_026
user_067,authority_027
user_095,authority_027
user_034,authority_027
user_023,authority_028
user_095,authority_028
user_074,authority_029
user_063,authority_029
user_057,authority_029
user_042,authority_030
user_055,authority_030
user_057,authority_030
user_070,authority_031
user_042,authority_031
user_016,authority_032
user_071,authority_032
user_027,authority_032
user_018,authority_032
user_021,authority_033
user_034,authority_033
user_022,authority_034
user_076,authority_034
user_078,authority_034
user_056,authority_034
user_063,authority_035
user_037,authority_035
user_031,authority_035
user_016,authority_036
user_029,authority_036
user_058,authority_036
user_071,authority_036
user_017,authority_037
user_077,authority_037
user_068,authority_038
user_054,authority_038
user_088,authority_038
user_089,authority_038
user_053,authority_038
user_063,authority_039
user_026,authority_039
user_054,authority_040
user_048,authority_040
user_055,authority_040
user_004,authority_040
user_028,authority_040
user_006,authority_041
user_076,authority_041
user_041,authority_042
user_043,authority_042
user_062,authority_042
user_019,authority_042
user_009,authority_042
user_007,authority_043
user_020,authority_044
user_028,authority_044
user_084,authority_044
user_005,authority_044
user_083,authority_044
user_047,authority_045
user_084,authority_045
user_006,authority_045
user_094,authority_045
user_013,authority_045
user_014,authority_046
user_093,authority_046
user_074,authority_046
user_025,authority_046
user_043,authority_047
user_089,authority_047
user_031,authority_047
user_065,authority_047
user_005,authority_048
user_048,authority_048
user_073,authority_048
user_009,authority_048
user_075,authority_048
user_100,authority_049
user_053,authority_049
user_082,authority_050
user_051,authority_019
user_051,authority_013
user_051,authority_013
user_052,authority_033
user_053,authority_027
user_053,authority_035
user_054,authority_013
user_054,authority_049
user_055,authority_016
user_056,authority_044
user_056,authority_050
user_056,authority_038
user_057,authority_020
user_057,authority_022
user_057,authority_050
user_058,authority_032
user_058,authority_007
user_059,authority_006
user_060,authority_021
user_060,authority_002
user_061,authority_015
user_061,authority_003
user_061,authority_050
user_062,authority_006
user_063,authority_008
user_063,authority_049
user_064,authority_039
user_065,authority_017
user_066,authority_025
user_066,authority_014
user_066,authority_037
user_067,authority_022
user_068,authority_025
user_068,authority_032
user_068,authority_004
user_069,authority_018
user_069,authority_021
user_070,authority_028
user_071,authority_041
user_072,authority_018
user_072,authority_026
user_073,authority_045
user_074,authority_037
user_075,authority_028
user_076,authority_032
user_076,authority_032
user_076,authority_030
user_077,authority_046
user_078,authority_015
user_078,authority_001
user_078,authority_047
user_079,authority_034
user_079,authority_025
user_079,authority_025
user_080,authority_019
user_081,authority_048
user_081,authority_033
user_081,authority_005
user_082,authority_025
user_082,authority_036
user_083,authority_007
user_083,authority_038
user_084,authority_039
user_084,authority_010
user_084,authority_005
user_085,authority_032
user_085,authority_003
user_085,authority_024
user_086,authority_007
user_086,authority_004
user_086,authority_008
user_087,authority_030
user_087,authority_014
user_088,authority_043
user_088,authority_005
user_089,authority_001
user_089,authority_028
user_089,authority_031
user_090,authority_027
user_091,authority_024
user_091,authority_020
user_091,authority_003
user_092,authority_042
user_092,authority_036
user_092,authority_007
user_093,authority_035
user_093,authority_034
user_093,authority_032
user_094,authority_041
user_095,authority_034
user_095,authority_026
user_096,authority_049
user_096,authority_044
user_096,authority_031
user_097,authority_032
user_097,authority_045
user_097,authority_009
user_098,authority_023
user_098,authority_018
user_099,authority_007
user_100,authority_039
user_100,authority_008
user_100,authority_033
